epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,6907.58,1.4515,0.75079,0.99949,0.82105,0.51441,0.59231,0.32,1.3988,0.64669,0.98683,0.00999993,0.00999993,0.00999993
77,6997.9,1.45131,0.75053,1.00039,0.82164,0.51554,0.59365,0.32035,1.39809,0.64623,0.9863,0.00999992,0.00999992,0.00999992
78,7090.67,1.45561,0.75531,0.99844,0.82382,0.51407,0.59337,0.3204,1.39755,0.64509,0.98604,0.00999992,0.00999992,0.00999992
79,7181.93,1.45469,0.75529,0.9954,0.81783,0.51704,0.59398,0.32042,1.39719,0.64496,0.98615,0.00999992,0.00999992,0.00999992
80,7272.98,1.45349,0.75481,0.99851,0.81975,0.51691,0.59463,0.32055,1.39724,0.6442,0.98595,0.00999992,0.00999992,0.00999992
81,7363.61,1.45454,0.75334,0.99548,0.81486,0.51913,0.59448,0.32035,1.39715,0.64423,0.98616,0.00999992,0.00999992,0.00999992
82,7454.88,1.45049,0.75404,0.99905,0.8145,0.51846,0.59447,0.3208,1.39636,0.64429,0.98603,0.00999992,0.00999992,0.00999992
83,7545.68,1.45053,0.74923,0.99645,0.81578,0.5184,0.59463,0.32067,1.39663,0.6443,0.98566,0.00999992,0.00999992,0.00999992
84,7636.52,1.45811,0.75509,0.9955,0.81473,0.51879,0.59509,0.321,1.39555,0.64394,0.98478,0.00999992,0.00999992,0.00999992
85,7727.52,1.46203,0.75675,0.99874,0.81478,0.51959,0.596,0.32145,1.39491,0.64374,0.98435,0.00999992,0.00999992,0.00999992
86,7818.31,1.44921,0.74925,0.99429,0.81625,0.51927,0.59617,0.32142,1.39502,0.64316,0.98433,0.00999992,0.00999992,0.00999992
87,7909.81,1.45489,0.75017,0.99796,0.81786,0.5182,0.59602,0.3217,1.39424,0.64219,0.98411,0.00999991,0.00999991,0.00999991
88,8000.29,1.44427,0.74864,0.99473,0.81795,0.51876,0.59689,0.32204,1.39448,0.64203,0.98396,0.00999991,0.00999991,0.00999991
89,8091.59,1.44427,0.74547,0.99513,0.81594,0.51902,0.59712,0.32218,1.39444,0.6415,0.98363,0.00999991,0.00999991,0.00999991
90,8181.84,1.44129,0.744,0.99713,0.81439,0.52076,0.59769,0.32253,1.39385,0.64109,0.98329,0.00999991,0.00999991,0.00999991
91,8272.81,1.44996,0.75048,0.99449,0.81721,0.51972,0.59817,0.32262,1.39333,0.64077,0.9829,0.00999991,0.00999991,0.00999991
92,8363.12,1.44371,0.74584,0.99502,0.81548,0.52017,0.59815,0.32276,1.39301,0.64006,0.98279,0.00999991,0.00999991,0.00999991
93,8453.7,1.4567,0.75067,0.99491,0.81755,0.51969,0.59865,0.32292,1.39304,0.63968,0.98286,0.00999991,0.00999991,0.00999991
94,8544.53,1.44836,0.7475,0.99289,0.81869,0.51928,0.59855,0.323,1.39281,0.63953,0.98275,0.00999991,0.00999991,0.00999991
95,8634.74,1.44104,0.7442,0.993,0.81869,0.51953,0.59873,0.32293,1.39266,0.63921,0.98249,0.00999991,0.00999991,0.00999991
96,8725.2,1.44704,0.74678,0.99214,0.81901,0.51969,0.59878,0.32322,1.39257,0.6389,0.9824,0.00999991,0.00999991,0.00999991
97,8816.57,1.44846,0.74743,0.99334,0.81921,0.52009,0.59922,0.32333,1.3927,0.6389,0.98231,0.0099999,0.0099999,0.0099999
98,8907.21,1.45341,0.75651,0.99451,0.82067,0.51941,0.59936,0.32347,1.39238,0.63895,0.98218,0.0099999,0.0099999,0.0099999
99,8998.25,1.44801,0.74602,0.99709,0.82003,0.52039,0.59991,0.32355,1.39268,0.63886,0.98236,0.0099999,0.0099999,0.0099999
100,9088.83,1.44528,0.74755,0.99307,0.82112,0.51977,0.59977,0.32335,1.39219,0.63854,0.98218,0.0099999,0.0099999,0.0099999
101,9179.91,1.44131,0.742,0.99391,0.82085,0.52024,0.60002,0.32351,1.39199,0.63819,0.98223,0.0099999,0.0099999,0.0099999
102,9271.02,1.45393,0.74901,0.99146,0.81978,0.52096,0.60025,0.3236,1.39186,0.63795,0.98218,0.0099999,0.0099999,0.0099999
103,9362.01,1.4481,0.74508,0.99234,0.81973,0.52128,0.60029,0.32356,1.39187,0.63789,0.98205,0.0099999,0.0099999,0.0099999
104,9452.62,1.43452,0.73992,0.9936,0.82244,0.52032,0.60079,0.32377,1.39187,0.63781,0.98211,0.0099999,0.0099999,0.0099999
105,9543.29,1.44555,0.7485,0.99462,0.82175,0.52124,0.60088,0.32374,1.39207,0.63764,0.98222,0.0099999,0.0099999,0.0099999
106,9634.39,1.4419,0.74237,0.99398,0.82213,0.52143,0.60109,0.32393,1.39195,0.63758,0.98217,0.0099999,0.0099999,0.0099999
107,9724.93,1.44286,0.74061,0.99281,0.82115,0.52174,0.601,0.324,1.39181,0.63753,0.98212,0.0099999,0.0099999,0.0099999
108,9816.13,1.44171,0.74551,0.99131,0.82164,0.52161,0.60089,0.32408,1.3919,0.63766,0.98211,0.00999989,0.00999989,0.00999989
109,9907,1.44084,0.74176,0.99169,0.82185,0.5217,0.60133,0.32425,1.39159,0.63715,0.98211,0.00999989,0.00999989,0.00999989
110,9998.42,1.44106,0.74213,0.98872,0.82379,0.52069,0.60111,0.32428,1.39161,0.63699,0.98201,0.00999989,0.00999989,0.00999989
111,10088.8,1.43612,0.73861,0.99339,0.8225,0.52169,0.60139,0.32437,1.3918,0.63648,0.98201,0.00999989,0.00999989,0.00999989
112,10179.3,1.43744,0.73919,0.9907,0.82428,0.52065,0.60145,0.32437,1.39166,0.63633,0.98192,0.00999989,0.00999989,0.00999989
113,10270.2,1.44656,0.74132,0.99103,0.82244,0.52174,0.6018,0.32447,1.39148,0.63583,0.9819,0.00999989,0.00999989,0.00999989
114,10361.2,1.44085,0.74155,0.98929,0.82079,0.52206,0.60164,0.3245,1.39098,0.63552,0.98174,0.00999989,0.00999989,0.00999989
115,10451.9,1.43736,0.73917,0.99319,0.81968,0.52242,0.60177,0.32445,1.39076,0.63558,0.98178,0.00999989,0.00999989,0.00999989
116,10542.3,1.43809,0.73935,0.99316,0.8198,0.52256,0.6018,0.32451,1.39076,0.63555,0.98179,0.00999989,0.00999989,0.00999989
117,10633,1.44411,0.7436,0.99439,0.82067,0.52204,0.60175,0.32464,1.39071,0.63547,0.98166,0.00999989,0.00999989,0.00999989
118,10723.7,1.44574,0.74327,0.99053,0.8184,0.52332,0.60187,0.32453,1.39072,0.63541,0.9816,0.00999988,0.00999988,0.00999988
119,10814.1,1.43382,0.73784,0.99375,0.81912,0.52309,0.60173,0.32465,1.39087,0.63558,0.98165,0.00999988,0.00999988,0.00999988
120,10904.8,1.43391,0.73604,0.99105,0.82067,0.52228,0.60171,0.32475,1.3907,0.63529,0.98162,0.00999988,0.00999988,0.00999988
121,10995.3,1.43721,0.73528,0.99177,0.81904,0.52382,0.60217,0.32475,1.39057,0.63511,0.98166,0.00999988,0.00999988,0.00999988
122,11086.6,1.44352,0.74058,0.99195,0.8176,0.52385,0.6019,0.32483,1.39022,0.63488,0.98159,0.00999988,0.00999988,0.00999988
123,11177.4,1.43576,0.73828,0.9892,0.81762,0.52419,0.60217,0.32493,1.39006,0.6348,0.98156,0.00999988,0.00999988,0.00999988
124,11268.3,1.44279,0.73969,0.99332,0.82028,0.52244,0.60185,0.32502,1.39005,0.63466,0.98159,0.00999988,0.00999988,0.00999988
125,11359,1.43123,0.73621,0.98866,0.82037,0.5225,0.60167,0.32503,1.38979,0.63464,0.98165,0.00999988,0.00999988,0.00999988
126,11449.3,1.42439,0.73377,0.99255,0.82101,0.52258,0.602,0.32505,1.3899,0.63457,0.98165,0.00999988,0.00999988,0.00999988
127,11540.2,1.43748,0.7347,0.98724,0.82193,0.52258,0.60211,0.32497,1.38974,0.6346,0.98164,0.00999988,0.00999988,0.00999988
128,11631.1,1.43745,0.736,0.99052,0.82094,0.52326,0.6021,0.32516,1.38977,0.63466,0.98166,0.00999987,0.00999987,0.00999987
129,11721.5,1.42931,0.73504,0.98974,0.82201,0.52268,0.60202,0.32514,1.38973,0.63453,0.98166,0.00999987,0.00999987,0.00999987
130,11812.4,1.43132,0.73258,0.9892,0.8218,0.52278,0.60203,0.32525,1.38975,0.63451,0.9817,0.00999987,0.00999987,0.00999987
131,11902.9,1.4332,0.73606,0.98668,0.82017,0.52309,0.60196,0.32522,1.38959,0.63456,0.98166,0.00999987,0.00999987,0.00999987
132,11993.6,1.42451,0.72822,0.99059,0.81822,0.5239,0.60214,0.32525,1.38963,0.6346,0.9816,0.00999987,0.00999987,0.00999987
133,12083.9,1.43275,0.73477,0.9929,0.82054,0.52348,0.60202,0.32532,1.38962,0.63473,0.98167,0.00999987,0.00999987,0.00999987
134,12175.5,1.43479,0.73466,0.98785,0.8216,0.52289,0.60207,0.32541,1.38947,0.63463,0.98164,0.00999987,0.00999987,0.00999987
135,12266.3,1.43179,0.73172,0.98918,0.82155,0.52323,0.60242,0.32552,1.38937,0.63468,0.98154,0.00999987,0.00999987,0.00999987
136,12356.1,1.42035,0.7286,0.99136,0.82163,0.52337,0.60251,0.32559,1.38945,0.63479,0.9815,0.00999987,0.00999987,0.00999987
137,12447.6,1.44331,0.7389,0.98728,0.8196,0.5241,0.60235,0.3255,1.38945,0.6348,0.98152,0.00999987,0.00999987,0.00999987
138,12538.1,1.42358,0.72505,0.98618,0.81709,0.52526,0.60241,0.32537,1.38966,0.63497,0.98148,0.00999986,0.00999986,0.00999986
139,12628.4,1.42643,0.7346,0.99117,0.81773,0.52503,0.60245,0.32548,1.38951,0.63497,0.98143,0.00999986,0.00999986,0.00999986
140,12719,1.43146,0.73428,0.98744,0.81846,0.52506,0.60271,0.32557,1.38934,0.63509,0.98132,0.00999986,0.00999986,0.00999986
141,12809.9,1.42618,0.72879,0.98751,0.8195,0.52443,0.6026,0.32551,1.38942,0.63504,0.98129,0.00999986,0.00999986,0.00999986
